time and a half
beck and call
mover and shaker
quid pro quo
rank and file
rite of passage
statute of limitations
wild goose chase
fine-tooth(ed) comb
jumping-off place
alter ego
back burner
catch phrase
closed shop
dead heat
divvy up
dry run
due process
easy mark
en masse
en route
ex post
fait accompli
fall guy
faux pas
fighting chance
fish story
force majeure
form letter
full plate
guinea pig
hard hat
high roller
high time
hot air
humble pie
inasmuch as
insofar as
lead time
litmus test
long haul
motion sickness
motor mouth
multiple sclerosis
mumbo jumbo
number cruncher
off year
pander to
pep rally
primary care
prime time
promissory note
quick fix
red herring
restraining order
roll call
running start
seed money
shelf life
short fuse
short shrift
sitting duck
slipped disk
slush fund
small fry
smart aleck
snow job
soft touch
space cadet
spaced out
status symbol
stool pigeon
strung out
stumbling block
test case
thinking cap
tin ear
top brass
upper hand
urban sprawl
wagon train
white elephant
hard-bitten
heave-ho
helter-skelter
high-flown
ho-hum
pell-mell
stir-crazy
ad-lib
all-around
bang-up
brush-off
can-do
catch-as-catch-can
close-knit
close-up
co-op
co-opt
cross-purposes
cut-and-dried
cut-rate
deep-seated
deep-six
de-escalate
dilly-dally
double-cross
drop-off
dyed-in-the-wool
eye-opener
fail-safe
falling-out
far-flung
far-off
far-out
flip-flop
fly-by-night
foot-dragging
foul-up
free-for-all
free-form
free-living
gilt-edged
give-and-take
go-around
go-between
god-awful
go-getter
going-over
goings-on
good-sized
half-truth
hands-off
hand-to-hand
hanger-on
hang-up
hanky-panky
happy-go-lucky
hard-boiled
hard-hitting
hard-line
hard-nosed
have-not
heads-up
heavy-handed
hell-bent
higher-up
high-handed
high-sounding
high-strung
hit-or-miss
hot-wire
hush-hush
knockdown-dragout
know-it-all
laid-back
lead-in
long-winded
middle-of-the-road
mind-blowing
mind-boggling
mock-up
money-grubber
no-account
no-go
no-good
no-man's-land
no-no
no-nonsense
non-person
no-show
no-win
off-the-record
open-and-shut
pooh-pooh
put-down
put-on
quick-and-dirty
quick-tempered
quick-witted
razor-sharp
rough-and-ready
rough-and-tumble
run-down
run-in
run-of-the-mill
run-on
run-through
run-up
say-so
screw-up
sharp-tongued
shell-shocked
shilly-shally
shoo-in
shook-up
short-order
single-minded
sleight-of-hand
slip-up
smack-dab
so-and-so
soft-boiled
soft-pedal
spick-and-span
stepped-up
stick-in-the-mud
strong-arm
stuck-up
talking-to
tête-à-tête
thought-out
tight-lipped
time-honored
tip-off
tip-top
tongue-lashing
tongue-tied
top-heavy
topsy-turvy
touch-up
trigger-happy
true-blue
trumped-up
tug-of-war
two-fisted
two-timer
uncared-for
under-the-counter
under-the-table
up-and-coming
vis-à-vis
washed-out
washed-up
way-out
well-heeled
well-meaning
wishy-washy
wound-up
wrong-headed
acerbic
attuned
bailiwick
baleful
bamboozle
bastion
begrudge
beguile
bemused
beset
besmirch
bicker
blare
blotch
bombast
bonanza
botch
bountiful
brood
brook
burnish
cachet
catacombs
cauterize
cavalcade
chasm
clinch
clout
coalesce
cogitate
commiserate
confluence
connivance
coy
crafty
crass
dawdle
declaim
decree
defunct
depredation
derelict
dereliction
dicker
diminution
diminutive
disclaim
disconsolate
discordant
discursive
disembark
disfigure
dislodge
dispassionate
dispossess
dissolute
dissolution
distraught
doctrinaire
dogged
downcast
drawl
dynamism
emanate
emasculate
embroil
enjoin
enliven
equable
errant
erratic
eviscerate
execrable
explicate
extraneous
extricate
fanfare
fatuous
feckless
ferocious
ferret
fester
fete
finicky
flaunt
flay
fleck
flinch
flounder
flunky
fluster
flux
foist
forswear
fortuitous
fray
gainful
gibe
gleam
glimmer
glint
glitz
glower
grandiose
grating
gratis
gratuitous
grim
grueling
grumble
haphazard
harrow
harrowing
harry
headlong
hodgepodge
hokum
humbug
humdrum
illuminate
imbibe
imbue
impassioned
impassive
impinge
impregnable
impregnate
impudent
impunity
incorrigible
indigenous
indigent
infidel
infraction
ingenious
inopportune
inordinate
inquest
instigate
intemperate
interloper
jibe
laggard
leaven
limbo
limbo
malaise
mangle
maul
memento
milieu
militate
mite
mores
morose
muddle
nondescript
noxious
obdurate
obnoxious
offbeat
opportune
outcast
outstrip
peremptory
pittance
plight
precept
preoccupation
presumptuous
prim
prissy
privation
privy
proclivity
prod
propagate
proviso
prude
quibble
quip
recant
recuperate
redoubtable
regimen
regurgitate
remission
rend
repose
repository
reprehensible
repugnant
restitution
resuscitate
revile
revulsion
rickety
rife
rout
rubble
salutation
schism
serendipity
shiftless
shifty
shill
shucks
shunt
sinuous
skimpy
slew
slick
slipshod
smithereens
snip
snipe
snippy
snit
snitch
snoop
snooty
solace
somber
soporific
spoof
spook
squabble
squeamish
squelch
staging
stanch
stilted
stinker
stockade
stolid
stomp
stratify
strident
strut
stubble
stupefy
stupendous
stupor
sublime
subliminal
subvention
succor
supercilious
swathe
tamper
tarnish
tarry
taxonomy
temperance
temperate
