Carrel,n.图书馆卡座(=carrell)
casserole,n.（餐桌上用有盖的）焙盘；砂锅菜
caste,"n.印度的世袭阶级,(排他的)社会团体,职业等级,(具有严格等级的)社会地位,社会等级制度"
casuistry,"n.决疑法,决疑论,诡辩"
cataclysmal,
catcall,"n.不满之声,嘘声v.发嘘声"
catechism,"n.问答教学法,问答集"
caterwaul,"n. 猫叫春声, 像猫叫春的声音; vi. 叫春, 像猫叫春地叫"
cauterize,"vt.烧灼,烙,使麻木不仁"
cavalcade,n.队伍
cavalier,"n.骑士,武士,对女人献殷勤,有礼貌的绅士"
cavil,"vi.挑剔,找错"
celibate,"n.独身者,独身主义者adj.独身的,未婚的,禁欲的"
cellophane,n.玻璃纸
celluloid,n.赛璐珞；明胶；假象牙；电影
cellulose,n.纤维素
censorious,"adj.受批判的,挑剔的"
chafe,"v.(将皮肤等)擦热,擦破,使恼火"
chaplain,n.专职教士；牧师
chaps,n.皮套裤；皮护腿套裤
chasm,"n.深坑,裂口"
chassis,n.底盘
chasten,v.磨炼
chattel,"n.[律]动产,[常用复数]奴隶"
cheeky,"adj.厚脸皮的, 莽撞的、放肆的"
chichi,adj.精致的；装腔作势的
chimera,"n.[希神]狮头,羊身,蛇尾的吐火怪物,妖怪,狂想"
chimerical,adj.空想的
chink,n.裂缝；漏洞；硬币；叮当声；(贬)中国人
chivalrous,"adj.有武士风度的,侠义的"
chivalry,"n.骑士精神,骑士制度"
choleric,adj.易怒的
chortle,vi.咯咯笑n.得意的高笑
chuck,n.抛掷；卡盘；咯咯声
chug,n.（火车等缓行时的）轧轧响声
chump,n.呆子；笨蛋；短而厚的木块；羊腰部的厚肉
clack,v.发出咔嗒声；使咔嗒咔嗒地响
clammy,adj.潮湿的；湿冷的；冷黏的；冷漠的
clamor,"n.喧闹,叫嚷,大声的要求v.喧嚷,大声的要求"
clang,v.（使）发出铿锵声；鹤鸣声
clangor,n.(尤指连续的)铿锵声；叮当声
claptrap,"n.应付场面的话, 讨好的言语或行为, 废话, 噱头; adj.讨好的"
clatter,n.咔嗒声；哗啦声；嘈杂的谈笑声
clinch,"n.钉牢,拥吻v.敲弯,扭住"
clink,n.<俚>牢房；叮当声
clique,"n.私党,小圈子,派系,阀vi.结党"
clobber,v.狠揍；不断地打击；彻底打垮；使受到严重的经济损失
cloister,n.修道院；寺庙；回廊；隐居地
cloudburst,n.倾盆大雨；暴雨
clout,"n.敲打,轻叩,破布vt.叩,敲一下"
cloven,"adj.分裂的,裂开的"
cluck,v.发咯咯声；发啧啧声
clunk,n.沉闷的金属声；愚蠢乏味的人
clunker,"n. 年久失修的旧机器, 失败"
coalesce,v.接合
cockeyed,adj.斗鸡眼的；斜的；酒醉的
coddle,v.娇养；溺爱；用文火煮
coeval,adj.同时代的n.同时代的人
cogitate,"v.思考,考虑"
cognate,"adj.同词源的,同类的"
cohere,"vi.粘着,凝结,紧凑"
comeuppance,"n.应得的惩罚,因果报应"
commandant,n.司令官；指挥官；军校校长
commando,n.突击队(员)；(南非的)民兵
commiserate,"v.怜悯,同情"
commissary,"n.代表,物资供应所,委员"
commodious,adj.宽敞的
commodore,n.海军准将；快艇俱乐部主席；资深船长；舰队司令官
commonplace,"n.平凡的事,平常话adj.平凡的"
commutation,n.交换
complaisant,"adj.彬彬有礼的,殷勤的,柔顺的"
comport,v.相称
conciliate,"vt.安慰,赢得,调和"
conclave,"n.秘密会议,[天主教]教皇选举会议,红衣主教团"
concomitant,adj.伴随的n.伴随物
condole,v.慰问
condor,"n.大兀鹰, 秃鹰金币"
conflagration,"n.大火,大火灾,突发"
conflate,v.合并
confluence,n.汇合
conformity,"n.一致,符合"
confute,"vt.驳斥,驳倒"
congenial,"adj.性格相似的,适意的"
